ID_UBICACION;MARCA;STOCK_TOTAL;VALOR_STOCK_€;CLASES;DIAS_MAX;OCUPACION_%;DETALLE_CONTENIDO
CLAGD/Stock/StorageGD/CLA-040-06-01-01;GOLD;94;0.00;C+B+A+D;1263;90;[MV231601-0001-38] 2u (1263d) | [MV231601-0001-41] 2u (1263d) | [MV231601-0001-36] 1u (1250d) | [MV231601-0001-37] 3u (1250d) | [MV231601-0001-40] 1u (1263d) | [MV231601-0001-41] 3u (1263d) | [MV231601-0001-36] 2u (1250d) | [MV231601-0001-37] 2u (1250d) | [MV231601-0001-38] 2u (1263d) | [COSH542020-TAUP-26] 10u (432d) | [COSH542020-TAUP-26] 10u (432d) | [COSH200002-NAVY-28] 10u (220d) | [NV128333-0001-36] 12u (725d) | [BWSH368001-BLAC-36] 1u (382d) | [BWSH368001-BLAC-37] 2u (382d) | [BWSH368001-BLAC-38] 3u (382d) | [BWSH368001-BLAC-39] 3u (382d) | [BWSH368001-BLAC-40] 2u (382d) | [BWSH368001-BLAC-41] 1u (382d) | [COSH542065-TAN-31] 10u (432d) | [NV121504-0043-24] 1u (579d) | [NV121504-0043-25] 1u (579d) | [NV121504-0043-26] 1u (579d) | [NV121504-0043-27] 1u (579d) | [NV121504-0043-28] 1u (579d) | [NV121504-0043-29] 2u (579d) | [NV121504-0043-30] 1u (579d) | [NV121504-0043-31] 1u (579d) | [NV121504-0043-32] 1u (579d) | [NV121504-0043-33] 1u (579d) | [NV121504-0043-34] 1u (579d)
CLAGD/Stock/StorageGD/CLA-040-06-01-02;GOLD;36;0.00;C+B;424;20;[COSH244004-PEWT-28] 2u (395d) | [COSH244004-PEWT-29] 2u (395d) | [COSH244004-PEWT-30] 2u (395d) | [COSH244004-PEWT-31] 4u (395d) | [COSH244004-PEWT-32] 4u (395d) | [COSH244004-PEWT-33] 4u (395d) | [COSH244004-PEWT-34] 2u (395d) | [COSH244004-PEWT-35] 2u (395d) | [COSH244004-PEWT-36] 2u (395d) | [COSH264004-NAVY-29] 1u (424d) | [COSH264004-NAVY-30] 2u (424d) | [COSH264004-NAVY-31] 2u (424d) | [COSH264004-NAVY-32] 2u (424d) | [COSH264004-NAVY-33] 2u (424d) | [COSH264004-NAVY-34] 1u (424d) | [COSH264004-NAVY-35] 1u (424d) | [COSH264004-NAVY-36] 1u (424d)
CLAGD/Stock/StorageGD/CLA-040-06-02-02;GOLD;40;0.00;B+C+A;450;40;[COSH542065-TAN-35] 10u (432d) | [COSH542065-TAN-31] 10u (432d) | [COSH542065-TAN-30] 10u (432d) | [BJSH543008-BLAC-35] 10u (450d)
CLAGD/Stock/StorageGD/CLA-040-06-03-03;GOLD;112;0.00;A+D+B+C;579;110;[COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [COSH542020-TAUP-28] 10u (432d) | [NV126520-0011-24] 1u (579d) | [NV126520-0011-25] 1u (579d) | [NV126520-0011-26] 1u (579d) | [NV126520-0011-27] 1u (579d) | [NV126520-0011-28] 1u (579d) | [NV126520-0011-29] 1u (579d) | [NV126520-0011-30] 1u (579d) | [NV126520-0011-31] 1u (579d) | [NV126520-0011-32] 1u (579d) | [NV126520-0011-33] 1u (579d) | [NV126520-0011-34] 1u (579d) | [NV126520-0011-35] 1u (579d)
CLAGD/Stock/StorageGD/CLA-040-07-01-01;GOLD;80;0.00;A+D+C+B;579;80;[COSH542020-TAUP-35] 10u (432d) | [BJSH543001-BLAC-35] 10u (390d) | [NV128524-0040_C_24_35_12] 1u (24d) | [OSSH143073-BLUE-20] 1u (564d) | [OSSH143073-BLUE-21] 1u (564d) | [OSSH143073-BLUE-22] 2u (564d) | [OSSH143073-BLUE-23] 2u (564d) | [OSSH143073-BLUE-24] 2u (564d) | [OSSH143073-BLUE-25] 2u (564d) | [OSSH143073-BLUE-26] 2u (564d) | [NV128527-0160-24] 1u (579d) | [NV128527-0160-25] 1u (579d) | [NV128527-0160-26] 1u (579d) | [NV128527-0160-27] 1u (579d) | [NV128527-0160-28] 1u (579d) | [NV128527-0160-29] 1u (579d) | [NV128527-0160-30] 1u (579d) | [NV128527-0160-31] 1u (579d) | [NV128527-0160-32] 1u (579d) | [NV128527-0160-33] 1u (579d) | [NV128527-0160-34] 1u (579d) | [NV128527-0160-35] 1u (579d) | [NV128527-0160-27] 1u (579d) | [NV128527-0160-28] 1u (579d) | [NV128527-0160-29] 1u (579d) | [NV128527-0160-30] 2u (579d) | [NV128527-0160-31] 2u (579d) | [NV128527-0160-32] 2u (579d) | [NV128527-0160-33] 1u (579d) | [NV128527-0160-34] 1u (579d) | [NV126507-0043-27] 2u (579d) | [NV126507-0043-28] 2u (579d) | [NV126507-0043-29] 2u (579d) | [NV126507-0043-30] 1u (579d) | [NV126507-0043-31] 1u (579d) | [NV126507-0043-32] 1u (579d) | [NV126507-0043-33] 1u (579d) | [NV126507-0043-34] 1u (579d) | [NV126507-0043-35] 1u (579d) | [BJSH360003-BEIG-35] 2u (11d) | [BJSH360003-BEIG-36] 2u (11d) | [BJSH360003-BEIG-37] 2u (11d) | [BJSH360003-BEIG-38] 1u (11d) | [BJSH360003-BEIG-39] 1u (11d) | [BJSH360003-BEIG-33] 1u (11d) | [BJSH360003-BEIG-34] 2u (11d) | [BJSH360003-BEIG-40] 1u (11d)
CLAGD/Stock/StorageGD/CLA-040-07-01-02;GOLD;32;0.00;C+B+A;432;30;[COSH301085-WHIT-25] 1u (313d) | [COSH301085-WHIT-26] 1u (313d) | [COSH301085-WHIT-27] 1u (313d) | [COSH301085-WHIT-28] 1u (313d) | [COSH301085-WHIT-29] 1u (313d) | [COSH301085-WHIT-30] 1u (313d) | [COSH301085-WHIT-31] 1u (313d) | [COSH301085-WHIT-32] 1u (313d) | [COSH301085-WHIT-33] 1u (313d) | [COSH301085-WHIT-34] 1u (313d) | [COSH301085-WHIT-35] 1u (313d) | [COSH301085-WHIT-36] 1u (313d) | [COSH542020-TAUP-28] 10u (432d) | [BJSH542020-TAUP-39] 10u (156d)
CLAGD/Stock/StorageGD/CLA-040-07-01-03;GOLD;118;0.00;D+B+A;725;100;[MV231601-0020-40] 12u (725d) | [MV231601-0020-39] 12u (725d) | [MV231601-0020-39] 12u (725d) | [MV231601-0020-38] 10u (725d) | [MV231601-0020-39] 2u (725d) | [MV231601-0020-38] 12u (725d) | [MV231601-0020-38] 12u (725d) | [MV231601-0020-38] 12u (725d) | [MV231601-0020-37] 9u (725d) | [MV231601-0020-38] 3u (725d) | [MV231601-0020-37] 12u (725d) | [BJSH542020-TAUP-39] 10u (156d)
CLAGD/Stock/StorageGD/CLA-040-07-02-01;GOLD;64;0.00;B+A+D+C;725;60;[LI231010-0020-36] 1u (579d) | [LI231010-0020-37] 2u (579d) | [LI231010-0020-38] 3u (579d) | [LI231010-0020-39] 3u (579d) | [LI231010-0020-40] 2u (579d) | [LI231010-0020-41] 1u (579d) | [LI231010-0020-36] 1u (579d) | [LI231010-0020-37] 2u (579d) | [LI231010-0020-38] 3u (579d) | [LI231010-0020-39] 3u (579d) | [LI231010-0020-40] 2u (579d) | [LI231010-0020-41] 1u (579d) | [COSH261031-SILV-29] 10u (170d) | [COSH261031-SILV-27] 10u (170d) | [MV232305-0020-39] 10u (725d) | [MV232305-0020-39] 10u (725d)
CLAGD/Stock/StorageGD/CLA-040-07-02-02;GOLD;40;0.00;A;432;40;[COSH542020-TAUP-36] 10u (432d) | [COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-35] 10u (432d) | [COSH542020-TAUP-35] 10u (432d)
CLAGD/Stock/StorageGD/CLA-040-07-03-01;GOLD;108;0.00;D+B;725;90;[MV231601-0020-40] 1u (725d) | [MV231601-0020-41] 11u (725d) | [MV231601-0020-40] 12u (725d) | [MV231601-0020-39] 12u (725d) | [MV231601-0020-39] 12u (725d) | [MV231601-0020-38] 12u (725d) | [MV231601-0020-38] 12u (725d) | [MV231601-0020-37] 12u (725d) | [MV231601-0020-36] 12u (725d) | [MV231601-0020-36] 1u (725d) | [MV231601-0020-37] 4u (725d) | [MV231601-0020-38] 3u (725d) | [MV231601-0020-39] 2u (725d) | [MV231601-0020-40] 2u (725d)
