ID_UBICACION;MARCA;TEMPORADAS;STOCK_TOTAL_UBICACION;VALOR_STOCK_€;CLASES_ABC;DIAS_MAX;OCUPACION_%;PRODUCTOS_A;PRODUCTOS_B;PRODUCTOS_C;PRODUCTOS_D
CLAGD/Stock/StorageGD/CLA-047-03-01-03;GOLD;I25+V24;70;155.52;A+B+D+C;796;70;[BJSH542021-BLAC-38] 1u (I25) 430d | [BJSH542021-BLAC-36] 2u (I25) 430d | [BJSH542021-TAUP-33] 4u (I25) 347d | [BJSH542021-TAUP-35] 1u (I25) 445d;[BJSH542021-TAN-22] 2u (I25) 703d | [BJSH542021-NAVY-22] 1u (I25) 796d | [BJSH542021-NAVY-25] 1u (I25) 351d;[OSSH122064-SILV-22] 2u (V24) 587d | [OSSH122066-GOLD-24] 1u (V24) 587d | [OSSH122066-GOLD-25] 1u (V24) 587d | [OSSH122064-SILV-26] 2u (V24) 587d | [OSSH122064-SILV-24] 1u (V24) 587d | [OSSH122066-GOLD-22] 1u (V24) 587d | [OSSH122064-SILV-20] 1u (V24) 587d | [COSH300094-WHIT-25] 1u (V24) 581d | [COSH300094-WHIT-26] 1u (V24) 581d | [COSH300094-WHIT-27] 1u (V24) 581d | [COSH300094-WHIT-28] 1u (V24) 581d | [COSH300094-WHIT-29] 1u (V24) 581d | [COSH300094-WHIT-30] 1u (V24) 581d | [COSH300094-WHIT-31] 1u (V24) 581d | [COSH300094-WHIT-32] 1u (V24) 581d | [COSH300094-WHIT-33] 1u (V24) 581d | [COSH300094-WHIT-34] 1u (V24) 581d | [COSH300094-WHIT-35] 1u (V24) 581d | [COSH300094-WHIT-25] 1u (V24) 581d | [COSH300094-WHIT-26] 1u (V24) 581d | [COSH300094-WHIT-27] 1u (V24) 581d | [COSH300094-WHIT-28] 1u (V24) 581d | [COSH300094-WHIT-29] 1u (V24) 581d | [COSH300094-WHIT-30] 1u (V24) 581d | [COSH300094-WHIT-31] 1u (V24) 581d | [COSH300094-WHIT-32] 1u (V24) 581d | [COSH300094-WHIT-33] 1u (V24) 581d | [COSH300094-WHIT-34] 1u (V24) 581d | [COSH300094-WHIT-35] 1u (V24) 581d | [COSH300094-WHIT-25] 1u (V24) 581d | [COSH300094-WHIT-26] 1u (V24) 581d | [COSH300094-WHIT-27] 1u (V24) 581d | [COSH300094-WHIT-28] 1u (V24) 581d | [COSH300094-WHIT-29] 1u (V24) 581d | [COSH300094-WHIT-30] 1u (V24) 581d | [COSH300094-WHIT-31] 1u (V24) 581d | [COSH300094-WHIT-32] 1u (V24) 581d | [COSH300094-WHIT-33] 1u (V24) 581d | [COSH300094-WHIT-34] 1u (V24) 581d | [COSH300094-WHIT-35] 1u (V24) 581d | [COSH300092-WHIT-25] 1u (V24) 581d | [COSH300092-WHIT-26] 1u (V24) 581d | [COSH300092-WHIT-27] 1u (V24) 581d | [COSH300092-WHIT-28] 1u (V24) 581d | [COSH300092-WHIT-29] 1u (V24) 581d | [COSH300092-WHIT-30] 1u (V24) 581d | [COSH300092-WHIT-31] 1u (V24) 581d | [COSH300092-WHIT-32] 1u (V24) 581d | [COSH300092-WHIT-33] 1u (V24) 581d | [COSH300092-WHIT-34] 1u (V24) 581d | [COSH300092-WHIT-35] 1u (V24) 581d | [COSH300092-WHIT-36] 1u (V24) 581d;[BJSH542021-TAUP-31] 1u (I25) 297d | [COSH300094-WHIT-36] 1u (V24) 581d | [COSH300094-WHIT-36] 1u (V24) 581d | [COSH300094-WHIT-36] 1u (V24) 581d
CLAGD/Stock/StorageGD/CLA-047-03-03-02;GOLD;I25;70;0.00;B+C;172;70;;[COSH248002-PINK-30] 10u (I25) 172d | [COSH224055-PEWT-30] 10u (I25) 172d | [COSH224055-PEWT-28] 10u (I25) 172d;[COSH224055-PEWT-34] 10u (I25) 172d | [COSH224055-PEWT-32] 10u (I25) 172d | [COSH224055-PEWT-31] 10u (I25) 172d | [COSH224054-PINK-29] 10u (I25) 172d;
CLAGD/Stock/StorageGD/CLA-047-06-02-01;GOLD;I25;70;485.80;B+D;214;70;;[COSH249005-NAVY-35] 10u (I25) 214d | [COSH249005-NAVY-32] 10u (I25) 214d | [COSH249005-NAVY-31] 10u (I25) 214d | [COSH249005-NAVY-28] 10u (I25) 214d;;[COSH249005-NAVY-29] 10u (I25) 214d | [COSH249005-NAVY-25] 10u (I25) 214d | [COSH249005-GREY-33] 10u (I25) 214d
CLAGD/Stock/StorageGD/CLA-072-13-02-01;GOLD;I25+I23+I20+I24;70;572.54;B+D+C;33;60;;[COSH280001-NAVY-30] 1u (I25) 33d | [COSH280001-NAVY-29] 2u (I25) 33d | [COSH280002-NAVY-36] 1u (I25) 33d | [COSH280002-NAVY-35] 1u (I25) 33d | [COSH280001-NAVY-32] 2u (I25) 33d | [COSH280001-NAVY-35] 1u (I25) 33d | [COSH280002-NAVY-34] 2u (I25) 33d | [COSH280001-NAVY-28] 2u (I25) 33d | [COSH280001-NAVY-33] 1u (I25) 33d | [BWSH346002-BEIG-40] 1u (I23) 33d | [BWSH346002-BEIG-37] 2u (I23) 33d | [BWSH346002-BEIG-36] 1u (I23) 33d | [BWSH346002-BEIG-41] 1u (I23) 33d | [BWSH346002-BEIG-38] 2u (I23) 33d | [BWSH346002-BEIG-39] 2u (I23) 33d | [KV226810-0048-38] 3u (I20) 33d | [COSH200002-NAVY-34] 17u (I25) 33d | [BWSH347001-BLAC-36] 1u (I23) 33d | [BWSH347001-BLAC-41] 1u (I23) 33d | [BWSH347001-BLAC-38] 2u (I23) 33d | [BWSH347001-BLAC-37] 2u (I23) 33d | [BWSH347001-BLAC-39] 2u (I23) 33d | [BWSH347001-BLAC-40] 1u (I23) 33d;[COSH264002-PEWT-22] 10u (I24) 33d;[COSH280002-NAVY-32] 2u (I25) 33d | [COSH280001-NAVY-34] 1u (I25) 33d | [KV226810-0048-37] 2u (I20) 33d | [KV226810-0048-36] 1u (I20) 33d | [KV226810-0048-41] 1u (I20) 33d | [KV226810-0048-40] 1u (I20) 33d | [KV226810-0048-39] 1u (I20) 33d
CLAGD/Stock/StorageGD/CLA-072-15-02-02;GOLD;I25;70;0.00;A+B;452;70;[COSH542021-TAUP-26] 10u (I25) 433d;[COSH542020-BLAC-36] 10u (I25) 452d | [COSH542020-BLAC-35] 10u (I25) 452d | [COSH542020-BLAC-34] 10u (I25) 452d | [COSH542020-BLAC-34] 10u (I25) 452d | [COSH542020-BLAC-33] 10u (I25) 452d | [COSH542020-BLAC-33] 10u (I25) 452d;;
CLAGD/Stock/StorageGD/CLA-072-18-02-01;GOLD;I24;70;438.20;B;384;70;;[BJSH542090-BLAC-36] 10u (I24) 384d | [BJSH542090-BLAC-36] 10u (I24) 384d | [BJSH542090-BLAC-35] 10u (I24) 384d | [BJSH542090-BLAC-35] 10u (I24) 384d | [BJSH542090-BLAC-34] 10u (I24) 384d | [BJSH542090-BLAC-34] 10u (I24) 384d | [BJSH542090-BLAC-33] 10u (I24) 384d;;
CLAGD/Stock/StorageGD/CLA-072-20-03-01;GOLD;I25;70;420.70;A;139;70;[BJSH542020-TAUP-37] 10u (I25) 139d | [BJSH542020-TAUP-37] 10u (I25) 139d | [BJSH542020-TAUP-37] 10u (I25) 139d | [BJSH542020-TAUP-37] 10u (I25) 139d | [BJSH542020-TAUP-36] 10u (I25) 139d | [BJSH542020-TAUP-36] 10u (I25) 139d | [BJSH542020-TAUP-36] 10u (I25) 139d;;;
CLAGD/Stock/StorageGD/CLA-043-01-02-02;GOLD;V22+I25;69;554.69;C+B+D;452;60;;[MV231603-0053-39] 7u (V22) 389d | [MV231603-0053-39] 4u (V22) 389d | [MV231603-0053-39] 14u (V22) 389d | [COSH542020-BLAC-35] 10u (I25) 452d | [COSH542020-BLAC-31] 10u (I25) 452d;[MV231603-0053-41] 5u (V22) 389d | [MV231603-0053-41] 2u (V22) 389d | [MV231603-0053-41] 4u (V22) 389d | [MV232304-0020-37] 1u (V22) 389d | [MV232304-0037-40] 6u (V22) 389d;[MV231611-0001-38] 1u (V22) 389d | [MV231611-0001-39] 1u (V22) 389d | [MV231611-0001-40] 1u (V22) 389d | [MV231611-0001-36] 1u (V22) 389d | [MV231611-0001-37] 2u (V22) 389d
CLAGD/Stock/StorageGD/CLA-046-02-01-01;GOLD;I25+I20;69;416.61;A+B;139;70;[BJSH542020-TAUP-35] 10u (I25) 139d | [BJSH542020-TAUP-33] 10u (I25) 139d | [BJSH542020-TAN-37] 10u (I25) 139d | [BJSH542020-TAN-36] 10u (I25) 139d | [BJSH542020-BLAC-38] 10u (I25) 139d | [BJSH542020-BLAC-38] 10u (I25) 139d;[KI226831-0078-38] 2u (I20) 54d | [KI226831-0078-41] 1u (I20) 54d | [KI226826-0020-38] 2u (I20) 54d | [KI226826-0020-37] 1u (I20) 54d | [KI226831-0078-37] 1u (I20) 54d | [KI226831-0078-39] 1u (I20) 54d | [KI226831-0078-40] 1u (I20) 54d;;
CLAGD/Stock/StorageGD/CLA-043-09-01-03;GENERIC;I23+I25+V22+V23;68;517.58;B+D+C;727;70;;[BJSH542076-BLAC-30] 10u (I23) 581d | [COSH249005-GREY-34] 12u (I25) 727d | [NV128333-0001-34] 12u (V23) 727d;[MV232301-0020-40] 10u (V22) 727d | [MV232301-0020-38] 10u (V22) 727d;[COSH249005-GREY-36] 12u (I25) 727d | [NV126509-0207-27] 2u (V23) 371d
